,код СКМТР,Наименование,Маркировка,Регламенты (ГОСТ/ТУ),Параметры,Базисная Единица измерения,ОКПД2,is_tu,ОКПД2_сокр,Параметры парс
613198,4025201062,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK POWER PRO LCD 500 353901,,"500ВА 220В 100Х143Х290 4,4КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613199,4025201045,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER UT-650EI,,"650ВА 360ВТ 230В 4ХIEC320C13 84Х159Х252 3,8КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613200,4025201079,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK COMFO PRO 600 NEW 632582,,600ВА 160В-275В/220В USB SMART RS-232 120Х202Х295 6КГ ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613201,4025201044,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER UT-650E,,"650ВА 360ВТ 230В 84Х159Х252 3,8КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613202,4025201013,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BX950UI,,230В 4А 950ВА 480ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613203,4025201011,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BX700UI,,230В 700ВА 390ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613204,4025200938,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM SPIDER SPD-650U SPD-0650-6G0-244U,,650ВА 220В 8ХSCHUKO CEE 7 285Х103Х232,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613205,4025201006,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BC650-RS,,230В 3А 650ВА 390ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613206,4025201005,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON SMART WINNER NEW EDITION 2000 9210-73000-00P,,"2000ВА 230В 439Х86,5Х436 21КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613207,4025200973,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK VERSO 400,,"400ВА/200ВТ 124Х166Х202 3,3КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613208,4025200982,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,АТС-КОНВЕРС ATS1000 R-BX PRO,,"1000ВА/900ВТ 7/1А 220/24В 88(2U)Х438Х420 12,9КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613209,4025200944,БЛОК ПИТАНИЯ ДЛЯ ВИДЕОНАБЛЮДЕНИЯ,BOSCH UPA-2450-50,,220В/50ГЦ 24В/50ГЦ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613210,4025200942,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS CS 650VA,,650ВА 230В,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613211,4025200859,БЛОК ПИТАНИЯ,CISCO PWR-3900-DC,,400ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613212,4025200850,БЛОК ПИТАНИЯ ДЛЯ СЕРВЕРА,HP 313299-001,,220В 400ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613213,4025200813,БЛОК ПИТАНИЯ,АС-220-SI-20-12-1000,,"12В, ДО 1А",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613214,4025200816,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BY SMART-UPS SMT750I,,"750ВА 230В 138Х161Х363 13,18КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613215,4025200817,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,"ИБП-1,2/220",,1500ВА 1200ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613216,4025200811,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SMART-UPS VS 650VA,,650ВА 230В,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613217,4025200787,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BX1100CI-RS,,230В 1100ВА 660ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613218,4025200823,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BE550G-RS,,230В 550ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613219,4025200773,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SMART-UPS SMT1000RMI2U,,"1000ВА 230В IEC 320 C13 RJ-45 SERIAL SMARTSLOT USB 85Х480Х475 28,18КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613220,4025200750,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM WARRIOR WAR-600A,,600ВА 220В 2ВЫХОДА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613221,4025200759,СИСТЕМА ДВОЙНОГО ПИТАНИЯ,СДП.230,ТУ 4276-002-30241830-2011,220-12В,796,26.20.40.110,1,26,|источник света|тип цоколя|мощность|тип питания
613222,4025200688,ИСТОЧНИК ПИТАНИЯ БЕСПЕРЕБОЙНЫЙ,APC SYMMETRA RM 4KVA,,4КВА 220-240В,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613223,4025200645,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS PRO 550 BR550GI,,"550ВА 230В 91Х190Х310 7,7КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613224,4025200586,БЛОК ПИТАНИЯ,PIKO BH-30-PE,,220В 14ВТ 9А,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613225,4025200662,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC POWER-SAVING BACK-UPS ES 8 OUTLET,,550ВА 230В CEE7/7,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613226,4025200581,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS RS 1500 BR1500I,,"1,5КВА 230В",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613227,4025200771,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BX650CI-RS,,650ВА 230В,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613228,4025200738,БЛОК ПИТАНИЯ,HP 194989-001,,400ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613229,4025200747,БЛОК ПИТАНИЯ,CISCO PWR-3900-AC/2,,230В 5А,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613230,4025200709,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK OFFICE400,,400ВА 200ВТ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613231,4025200719,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ЛИНЕЙНО-ИНТЕРАКТИВНЫЙ,TRIPP-LITE AVRX750UD,,750ВА 230В USB 8РОЛЗЕТОК CEE7/7 SCHUKO 279Х152Х120 ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613232,4025200676,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SMART-UPS SC 1000VA SC1000I,,1000ВА 230В 2U RACKMOUNT/TOWER,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613233,4025200683,БЛОК ПИТАНИЯ,CHIEFTEC NITRO SERIES BPS-850C ATX 850W,,850ВТ 220В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613234,4025200560,БЛОК ПИТАНИЯ К СИСТЕМНОМУ БЛОКУ,DELTA ELECTRONICSGPS-350AB-C,,350ВТ 220В ATX12V 2.0V,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613235,4025200487,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BE 400RS,,400ВА 230В,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613237,4025200510,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FSP GROUP ATX-400PNR,,400ВТ 220-240В ATX12V V 2.01 86Х150Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613238,4025200528,БЛОК ПИТАНИЯ К СЕРВЕРУ,252361-001,,200ВТ 220В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613239,4025200386,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS RS 500,,500ВА/300ВТ 230В,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613240,4025200333,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK POWER PRO 400,,400ВА,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613241,4025200346,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BK 650 EI,,650ВА 230В,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613242,4025200189,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SMART-UPS 750VA USB & SERIAL SUA750I,,750ВА 230В 140Х160Х360,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613243,4025200162,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS RS BK350EI,,"350ВА 230В 7А 165Х91Х284 6,32КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613244,4025100052,БЛОК ПИТАНИЯ,EXEGATE AAA400,,"ATX 400ВТ/ATX12V 2.3/ВЕНТИЛЯТОР=80Х80/LКАБЕЛЯ=0,3М 86Х150Х110",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613245,4025100074,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FSP ATX-400PNR-I,,400ВТ ATX12V 2.2 ВЕНТИЛЯТОР=120Х120 150Х86Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613246,4025200117,БЛОК ПИТАНИЯ К СИСТЕМНОМУ БЛОКУ,FSP400-60PN,,400ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613247,4025100048,БЛОК ПИТАНИЯ,ALLEN BRADLEY CAT1606-XLP 999889025,,12-15В 50ВТ 220Х100Х40,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613248,4025100132,БЛОК ПИТАНИЯ,AIRMAX A8-400W,,"ATX 400ВТ 200/240В 20+4 PIN 1ВЕНТИЛЯТОР=80Х80 150Х90Х200 0,8КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613249,4025100060,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,DELTA ULTRON DPS-300K GES304DS3312E35,,"300КВА 380/220В 400/230В 415/240В, SNMP, КАРТА MODBUS, КАРТА ДОПОЛНИТЕЛЬНЫХ СУХИХ КОНТАКТОВ, ENVIROPROBE, SNMP КОНЦЕНТРАТОР, 1600Х865Х1950 1335КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
613250,4025100019,БЛОК ПИТАНИЯ ЯЩИКА АВТОМАТИЧЕСКОЙ СИСТЕМЫ УПРАВЛЕНИЯ ДВУХКАНАЛЬНЫЙ,DR-120-24,,220/24В 2А,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613251,4025100015,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,INWIN POWERMAN IP-P750BK3-3,,750ВТ 230В ATX12V 2.3/EPS12V 150Х86Х160,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613253,4025100027,БЛОК ПИТАНИЯ,CHIEFTEC 750W RTL (BPS-750C2),,"750ВТ, 220В, ATX-12V V.2.3/EPS-12V, PS-2 TYPE WITH 14CM FAN, PFC",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
613254,4025100023,СИСТЕМА СЕТЕВАЯ ПИТАНИЯ ДЛЯ СВЕТИЛЬНИКА ПЕРЕНОСНОГО СИНЕГО СВЕТА,СП-220,,220В 500МА,796,26.20.40.110,0,26,|источник света|тип цоколя|мощность|тип питания
615153,4025240316,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,CHIEFTEC IARENA GPA-600S,,600ВТ ATX 12V 2.3 APFC D=120 2PCI-E 4SATA 140Х150Х86 1.39КГ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
615366,4025240054,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FSP GROUP ATX-400PNF,,400ВТ 220-240В ATX12V V 2.01 86Х150Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
615576,4025201122,БЛОК ПИТАНИЯ КОММУТАТОРА,CISCO N2200-PAC-400W,,"400ВТ AC 90-264В 300Х200Х100 1,5КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
615680,4025240313,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,HERMES TECHNICS HT-UPS BACK RG-600LD,,"360 ВТ, 600 ВА, 162-290 В, 45-65 ГЦ, ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
615982,4025201338,БЛОК ПИТАНИЯ,TELEOFIS PS12-1000,,"100-240В 0,3А RJ-12(6P6C) LКАБЕЛЯ=1,5М 69Х27Х38 0,2КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
616095,4025240314,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,HERMES TECHNICS HT-UPS BACK RG-700,,405ВТ 700ВА 180-266В 50-60ГЦ 8 РАЗЪЕМОВ ПИТАНИЯ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
616563,4025240290,БЛОК ПИТАНИЯ ДЛЯ СЕТЕВОГО ОБОРУДОВАНИЯ,LIAN XING LX-0501,,"220/5В 1А РАЗЪЕМ-5,5Х2.5",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
616577,4025240285,БЛОК ПИТАНИЯ МОДУЛЬНЫЙ,SEASONIC FOCUS PX-550 SSR-550PX,,"550ВТ 220В 50/60ГЦ ATX 12V 1Х20+4PIN 2Х4+4PIN 2Х6+2PIN 10ХSATA 3ХMOLEX DВЕНТИЛЯТОРА=120 140Х150Х86 1,62КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
616605,4025201285,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM SPT-500-II,,500ВА 400ВТ 3ХIEC 320 C13 155/300В 50-60ГЦ ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
616729,4025201266,БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BX750MI-GR,,"750ВА/230В/RS-232, USB/IEC 320 C13 (КОМПЬЮТЕРНЫЙ)/4 РАЗЪЕМОВ/355Х120Х160ММ/5,4КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
616755,4025100281,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ИМПУЛЬС ФРИСТАЙЛ Н 3000 FT30204,ТУ 26.20.40-012-09931023-2019,"230В 3КВА/2700ВТ LCD+LED EPO RS-232 USB SMARTSLOT БЕЗ АКБ ЗУ 12А DC-ШИНА 72В IEC-C13Х8 + IEC-C19 440Х435Х86,5(2U) 8,6КГ",796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
616819,4025100302,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ИМПУЛЬС ЮНИОР СМАРТ 600 JS60101,ТУ 26.20.40-016-09931023-2019,"230В 600А/360ВТ LED IEC-C13Х4 96Х286Х138 4,3КГ",796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
616826,4025240288,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERCOM MACAN MAC-1000 1034861,,"1000ВА 208/220/230/240В 4ХIEC320-C13 144Х357Х228 10,4КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
616869,4025100262,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ИМПУЛЬС ФРИСТАЙЛ 1000 ВА FT10201,ТУ 26.20.40-012-09931023-2019,"230В 1КВА/900ВТ LCD USB EPO RS-232 USB SMARTSLOT АКБ 2Х9А/ЧАС IEC-C13Х8 440Х325Х86,5(2U) 11,3КГ",796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
616879,4025100195,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ИМПУЛЬС СЛИМ 2000 SL20201,ТУ 26.20.40-019-09931023-2019,"230В 2КВА/1400ВТ LCD RS-232 USB EPO SNMPSLOT 12В/9А/ЧАСХ2 IEC-C13Х4 ОПЦИОНАЛЬНО RJ-45/RJ-11 438Х430Х88(2U) 16,5КГ",796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
616892,4025201280,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL VX PLUS 500 RGB,,500ВТ 230В ATX 12V 2.3 24+8(4+4)PIN 3SATA DВЕНТИЛЯТОРА=120ММ 140Х86Х150,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
617073,4025201279,БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BK650EI,,"650ВА/230В/400ВТ/RS-232, USB/IEC 60320 C14 (КОМПЬЮТЕРНЫЙ)/4 РАЗЪЕМОВ/284Х165Х91ММ/6,03КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
617120,4025201281,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL VX PLUS 750W,,750ВТ 230В ATX 12V 2.3 24+8(4+4)PIN 6SATA DВЕНТИЛЯТОРА=120ММ 140Х86Х150,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
617422,4025201291,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SMART-UPS SMX3000RMHV2UNC,,"3000ВА 230В 8ХС13(220-240V), 1XC19, WEB/SNMP, USB, COM 432Х85Х667 37,3КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
617761,4025240261,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL AERO BRONZE 750W,,"750ВТ 220В ATX-12V V.2.3/EPS-12V 6ХSATA 24+2X(4+4) PIN FAN APFC 120ММ,",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
617830,4025201250,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC EASY UPS BV500I,,"500ВА 230В 237Х143Х373 3,9КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
618182,4025201232,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ISAAK UPS BACK RG-700PV,,700ВА 220В 8 РОЗЕТОК 205Х285Х94,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
618235,4025240249,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON SMART POWERPRO II 2200,,2200 ВА/1200 ВТ/IEC 320 C13 /USB/139X195X364 / 10.8 КГ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
619672,4025200671,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK OFFICE600 9400-4291-02,,"600ВА 220В 231Х81Х185 3,4КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
619771,4025100128,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FOXLINE FL400S,,400ВТ ATX2.3 20+4PIN DВЕНТИЛЯТОРА=120 LПРОВОДОВ=350,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
619843,4025200088,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC SMART-UPS SUA1500RM12U,,"1,5КВА 230В",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
619875,4025201057,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK-UPS BC750-RS,,"750ВА 230В 115Х200Х256 5,8КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
619989,4025200880,МОДУЛЬ ПИТАНИЯ,APC SYMP4KI SYMMETRA LX,,4КВА POWER MODULE 220/230/240В,796,26.20.40.110,0,26,аритикул маркета|модель/исполнение|номин. напряжение|емкость батареи|особенности
619991,4025200391,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BACK BR 1500I,,1500ВА 230В,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
620008,4025200399,БЛОК ПИТАНИЯ ПРИНТЕРА,XYAA2134,,220В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
620011,4025100078,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА КОМПЬЮТЕРА,EXEGATE SPECIAL UNS450,,"450ВТ АТХ V2.3 115-230В 150Х140Х86 0,85КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
620017,4025200667,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK VERSO 600 9400-4392-02,,"600ВА 220В 125Х86Х320 3,7КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
620022,4025201120,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,SVEN PU-400AN SV-015695,,"400ВТ/ATX 12В/80Х80/2ХMOLEX/2ХSATA/FDD 150Х85Х140 00,78КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
620028,4025100039,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ПЕРЕМЕННОГО ТОКА,ШТИЛЬ SR1101L (AT),,"220В 1КВА/0,7КВТ 450Х88Х482 8КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
620033,4025201053,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK POWER PRO LCD 700,,"700ВА 220В ЖК-ЭКРАН IEC320C13 USB 278Х100Х143 4,65КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
620046,4025201027,БЛОК ПИТАНИЯ,HP 613764-001,,12В 320ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
620052,4025200409,БЛОК ПИТАНИЯ,105E11400,,220В,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
620058,4025100059,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,FOXLINE FZ-450R,,"450ВТ ATX 220-230/12/3,3/5В 20+4PIN/1Х4PIN 150Х140Х86",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
620080,4025200935,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER VALUE2200EILCD,,2200ВА 230В 2Х9А/ЧАС 180Х140Х326,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
620086,4025200465,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,APC BE 700-RS,,700ВА 230В,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
620115,4025100008,БЛОК ПИТАНИЯ,COMPAQ 350 W HOT PLUG POWER SUPPLY 326905-001,,350ВТ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
620141,4025100037,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ПЕРЕМЕННОГО ТОКА,ШТИЛЬ SR1101SL (AT),,"220В 1КВА/0,7КВТ 450Х88Х482 14,5КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
620151,4025100077,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА КОМПЬЮТЕРА,EXEGATE SPECIAL AAA450,,"450ВТ АТХ V2.3 115-230В 150Х110Х86 0,6КГ",796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
