,форм-фактор,мощность,стандарт эффективности,pfc,тип товара в одно слово,тип товара в 2 слова,Наименование,Параметры_изначальные,тип,длина кабеля,особенности,максимальная нагрузка,выходная мощность,выходных разъемов,разъемов с питанием от батареи,интерфейсы,аритикул маркета,модель/исполнение,номин. напряжение,емкость батареи,источник света,тип цоколя,тип питания,Тип товара в одно слово,Тип товара в 2 слова,артикул маркета,тип товара в два слова,назначение,модель совместимого устройства,тип аккумулятора,цвет товара,выход. напряжение (мин),корпус,артикула маркета
359,,850,80 plus gold,активный,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['850ВТ/ATX12V 2.4/1 ВЕНТИЛЯТОР 135Х135/20+4PIN/4+4PIN CPU-1/8-PIN CPU-1/6+2-PIN PCI-E-4/4-PIN IDE (MOLEX)-4/15-PIN SATA-11/4-PIN FLOPPY-1/PFC-АКТИВНЫЙ/CЕРТИФИКАТ 80 PLUS GOLD/ОТСТЕГИВАЮЩИЕСЯ КАБЕЛИ'],,,,,,,,,,,,,,,,,,,,,,,,,,
360,,60,,,блок,блок питания,['БЛОК ПИТАНИЯ ИМПУЛЬСНЫЙ'],['24В 2.5А 60ВТ 40Х90Х100'],,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['500ВА 300ВТ 145/295В 50/60 ГЦ 139Х335Х210 4,3КГ']",,,,,300,,,,,,,,,,,,,,,,,,,,,
362,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['500 ВА / 300 ВТ, 3.9 МИН, 6 МС, 310 ДЖ, IEC 320 C13, 40 ДБ, 91X165X284 6,32КГ']",,,,,500 ва / 300 вт,iec 320 c13,,,,,,,,,,,,,,,,,,,,
363,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['500ВТ ATX 12V ВЕНТИЛЯТОР=120Х120 24+4+4PIN 140Х150Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
364,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['600ВТ ATX 12V 120ММ 2.3 24+4+4PIN 500ММ 140Х150Х86 OEM'],,,,,,,,,,,,,,,,,,,,,,,,,,
365,,120,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['24В. 120ВM'],,,,,,,,,,,,,,,,,,,,,,,,,,
366,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ ATX 12В V2.3 24+4+4 PIN 140Х150Х86 RET'],,,,,,,,,,,,,,,,,,,,,,,,,,
367,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1300ВА 780ВТ USB 50-60ГЦ 176-294В IEC-320-C14 LCD-ДИСПЛЕЙ'],,,,,780,,,usb,,,,,,,,,,,,,,,,,,
368,atx,600вт,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['600ВТ ATX 24+4PIN SATA=4ШТ PERIPHERAL=2ШТ ВЕНТИЛЯТОР=1Х120 150Х89Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 360ВТ USB 278Х100Х43 4,35КГ']",,,,,650,,,usb,,,,,,,,,,,,,,,,,,
370,atx,550,"атх12в 2,3",,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['550 ВТ ATX12V 2,3 86Х150Х140 0,818КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
371,,65,,,блок,блок питания,['БЛОК ПИТАНИЯ НОУТБУКА'],"['5/9/15/20В 3-3,25А 65ВТ']",,,,,,,,,,,,,,,,,,,,,,,,,,
372,,,,,модуль,модуль батарейный,['МОДУЛЬ БАТАРЕЙНЫЙ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['24В (2Х12В) 18АЧАС 88(2U)Х438Х420 16,5КГ']",,,"88(2u)х438х420 16,5кг",,,,,,,bp 24-18-2u pro,24в,18ач,,,,,,,,,,,,,,
373,,65,,,блок,блок питания,['БЛОК ПИТАНИЯ ДЛЯ НОУТБУКА'],"['100-240В 19В 3,42А DРАЗЪЕМА=5,5Х2,5']",,,,,,,,,,,,,,,,,,,,,,,,,,
374,atx12v 2.3,600,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['600ВТ, ATX12V 2.3, 200-240В, DВЕНТИЛЯТОРА=140']",,,,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['550ВА/330ВТ, 8РОЗЕТОК, USB, 285Х232Х103, 7,4КГ']",,,,,550ва/330вт,8,,usb,,,,,,,,,,,,,,,,,,
376,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА/360ВТ, 8РОЗЕТОК, 125X150X254, 4,55КГ']",,,,,360,8,,,,,,,,,,,,,,,,,,,,
377,atx,650,performance a+,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['650ВТ, ATX12V 2.52, 200-240В, ATX, 20+4PIN, 1X4+4PIN, 2Х6+2PIN, ВЕНТИЛЯТОР-120Х120 250Х160Х100']",,,,,,,,,,,,,,,,,,,,,,,,,,
378,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ОНЛАЙН ТИПА'],"['1000ВТ 2U 88Х438Х420 15,6КГ']",,,,,1000,,,,,,,,,,,,,,,,,,,,,
379,atx,500,83%,,блок,блок питания,['БЛОК ПИТАНИЯ'],['500ВТ ATX D-120ММ 86Х150Х140ММ 20+4PIN 83%'],,,,,,,,,,,,,,,,,,,,,,,,,,
380,atx,550,86,,блок,блок питания,['БЛОК ПИТАНИЯ'],['ATX 550ВТ D-120ММ 86Х150Х140ММ 20+4PIN'],,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,ИБП,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['850ВА 480ВТ 230В SCHUKOХ8 166Х118Х288 4.7КГ ЧЕРНЫЙ'],,,,,480,8,,,,,,,,,,,,,,,,,,,,
382,,,,,модуль,модуль батарейный,['МОДУЛЬ БАТАРЕЙНЫЙ ИСТОЧНИКА БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['24В (2Х12) /12В 9А/ЧАС / 88(2U)Х438Х420 / 16,5КГ']",,,"88(2u)х438х420 / 16,5кг",,,,,,,ats 1000 r-bx,24в,9а/час,,,,,,,,,,,,,,
383,atx,650,,,блок,блок питания,['БЛОК ПИТАНИЯ АКТИВНЫЙ'],"['650ВТ, ATX12V2,31 24+4+4PIN, UВХОДА=100-240В, ВЕНТИЛЯТОР-120Х120,140Х86Х150, ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['650ВА 360ВТ CEE 7 IEC 320 C13 (UPS):4 84Х174Х280 4КГ'],,,,,360,4,,,,,,,,,,,,,,,,,,,,
385,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['550ВТ ATX12V=2.3 ВЕНТИЛЯТОР=120Х120 150Х86Х140 1,3КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,источник,источник питания,['ИСТОЧНИК ПИТАНИЯ РЕЗЕРВНЫЙ'],"['203Х163Х74, 1,5КГ, 150-265В, 3А']",,,,,"1,5",,,,,,,,,,,,,,,,,,,,,
387,atx,450,20+4pin,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['450ВТ ATX 20+4PIN DВЕНТИЛЯТОРА=120'],,,,,,,,,,,,,,,,,,,,,,,,,,
388,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['900ВА 165-275В/220В 142Х245Х380 11,05КГ']",,,,,900,,,,,,,,,,,,,,,,,,,,,
389,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['800ВА/480ВТ 160-275В/220-240В/3EURO/100Х278Х140/4,4КГ']",,,,,480,,,,,,,,,,,,,,,,,,,,,
390,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА 360ВТ SCHUKO CEE 7 - 3ШТ USB TYPE B 100Х143Х278ММ 4,35КГ IP20']",,,,,360,3,,usb type b,,,,,,,,,,,,,,,,,,
391,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1550ВА 900ВТ 162-280В 4EURO 139Х364Х195 10.9 КГ ЧЕРНЫЙ'],,,,,900,,,,,,,,,,,,,,,,,,,,,
392,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['500ВА 300ВТ 140-290В 50-60ГЦ 40ДБ, 4ХIEC320 C13, 90Х145Х320 4КГ']",,,,,300,4,,,,,,,,,,,,,,,,,,,,
393,atx,600,80 plus,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['600ВТ/ ATX/80 PLUS/ PFC/1 ВЕНТИЛЯТОР 120ММ/20+4 PIN/86Х150Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
394,epsv2.92,850,80+ gold,,блок,блок питания,['БЛОК ПИТАНИЯ'],['850ВТ 12В IRGB PLUS 80+ GOLD EPSV2.92 150Х86 Х160 ЧЕРНЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
395,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1025ВА/230В/146Х360Х164ММ/8,4КГ']",,,,,1025,,,,,,,,,,,,,,,,,,,,,
396,din-рейка,40,,,блок,блок питания,['БЛОК ПИТАНИЯ НА DIN-РЕЙКУ'],"['24В 40ВТ 1,7A']",,,,,,,,,,,,,,,,,,,,,,,,,,
397,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['ATX 2.3 12В 600ВТ 24+4+(4+4)PIN 150Х86Х140 1.25КГ'],,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['6КВА 220В 438Х500Х88ММ 20КГ IP20'],,,,,6ква,,,,,,,,,,,,,,,,,,,,,
399,,850,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['850 ВТ 25 А 100-240 В 50/60ГЦ 8SATA 6PCI-E 135X135 ММ 2,15КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
400,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['2000 ВА, 1200 ВТ, 6 X IEC 320 C13 (КОМПЬЮТЕРНАЯ), RJ-11, RJ-45, USB 14КГ']",,,,,2000,6,,"rj-11, rj-45, usb",,,,,,,,,,,,,,,,,,
401,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ОДНОФАЗНЫЙ'],"['1350ВТ 1,5А 88(2U)Х438Х420 15,5КГ']",,,,,1350,,,,,,,,,,,,,,,,,,,,,
402,atx,500,20+4pin,,блок,блок питания,['БЛОК ПИТАНИЯ'],['500ВТ ATX12V=2.3 20+4PIN D=120 2ХMOLEX/3ХSATA/1ХFDD 150Х86Х140 СЕРЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
403,,750,,,блок,блок бесперебойного питания,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['750ВА/140-300 В/ 410 ВТ/RS-232, USB/IEC 320 C13 (КОМПЬЮТЕРНЫЙ)/4 РАЗЪЕМОВ/IP20/355Х120Х160ММ/5,4КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1200ВА/720ВТ/162-290В/45-65 ГЦ/IEC C14/SСHUKO CEE 7/7P/IP20/139Х195Х364/ 9,7КГ']",,,,,720,,,,,,,,,,,,,,,,,,,,,
405,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1200ВА/140-300 В/ 650 ВТ/RS-232, USB/IEC 60320 C14/4 РАЗЪЕМОВ/IP20/390Х140Х190ММ/7,6КГ']",,,,,650,4,,"rs-232, usb",,,,,,,,,,,,,,,,,,
406,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['2700ВТ 3000ВA 3МИН 1ХIEC320C19 8ХIEC320C13'],,,,,2700вт,8хiec320c13,1хiec320c19,,,,,,,,,,,,,,,,,,,
407,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['450ВТ ATX 20+4PIN ВЕНТИЛЯТОР=120Х120 150Х86Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['24В 20А 480ВТ 128,5Х125,2Х85,5 1,7КГ']",,,,,480,,,,,,,,,,,,,,,,,,,,,
409,atx,1000,80 plus gold,активный,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['1000ВТ/ATX12V 2.4/1 ВЕНТИЛЯТОР 135Х135/20+4PIN/4+4PIN CPU-1/8-PIN CPU-1/6+2-PIN PCI-E-6/4-PIN IDE (MOLEX)-4/15-PIN SATA-11/4-PIN FLOPPY-1/PFC-АКТИВНЫЙ/СЕРТИФИКАТ 80 PLUS GOLD/ОТСТЕГИВАЮЩИЕСЯ КАБЕЛИ 170Х150Х86 1,85КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,аккумулятор,аккумулятор портативный,['АККУМУЛЯТОР ПОРТАТИВНЫЙ ДЛЯ ЗАРЯДКИ МОБИЛЬНЫХ УСТРОЙСТВ'],"['3,7В, 74ВТ/ЧАС, 20000МА/ЧАС']",портативный,,,,,,,,,,,,,,,,,,,,,,,,,
411,,500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['110-240В 47-63ГЦ 500ВТ'],,,,,,,,,,,,,,,,,,,,,,,,,,
412,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ С ДВОЙНЫМ ПРЕОБРАЗОВАНИЕМ'],"['3000ВА/2700ВТ/165-295 ВТ/RS-232 USB/ 8РАЗЪЕМОВ IEC320C/440Х88Х718/29,3КГ/ЧЕРНЫЙ']",,,,,2700,8,,rs-232 usb,,,,,,,,,,,,,,,,,,
413,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ БЕЗ ВСТРОЕННЫХ АККУМУЛЯТОРОВ'],"['1000ВА, 24В DC, 86,5Х440Х430 11,5КГ']",,,,,1000ва,,,,,,,,,,,,,,,,,,,,,
414,atx,700,80plus bronze,apfc,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['700ВТ/80PLUS BRONZE/APFC/20+4 PIN/1X 4+4 PIN CPU/2X MOLEX/6X SATA'],,,,,,,,,,,,,,,,,,,,,,,,,,
415,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1000ВАТТ/230ВОЛЬТ/145Х360Х225/9,6КГ/ЧЕРНЫЙ']",,,,,1000 ватт,,,,,,,,,,,,,,,,,,,,,
416,,,,,модуль,внешний модуль,['МОДУЛЬ ВНЕШНИЙ НА ШИНУ'],"['АЦП/ЦАП 14/12БИТ 16/32КАНАЛОВ 400КГЦ USB2.0 400МА 40Х96Х30 0,2КГ']",,,"ацп/цап 14/12бит 16/32каналов 400кгц usb2.0 400ма 40х96х30 0,2кг",,,,,,,e14-440,,,,,,,,,,,,,,,,
417,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['600ВТ ATX 1ВЕНТИЛЯТОР D=120 150Х86Х140 1,53КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
418,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['230В 50/60ГЦ 900ВТ 1600ВА IEC РОЗЕТКИ 190Х140Х390 IP20'],,,,,900,,,,,,,,,,,,,,,,,,,,,
419,,,,,аккумулятор,аккумулятор стационарный,['АККУМУЛЯТОР СТАЦИОНАРНЫЙ СВИНЦОВО-КИСЛОТНЫЙ'],"['12В 12А/ЧАС 151Х98Х100,3']",аккумулятор,,,,,,,,,,,,,,,,,,,,,свинцово-кислотный,,,,
420,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['600ВА 360ВТ 165-280В 50ГЦ RBP0119 3РОЗЕТКИ 18МИН(ПРИ 90ВТ) 92Х158Х240 3.8КГ ЧЕРНЫЙ'],,,,,360,3,,,,,,,,,,,,,,,,,,,,
421,atx,850,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['850ВТ 100-240В 12А ATX 12V V2.4 150Х160Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
422,atx,450,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['450ВА ATX 20+4,1X4PIN CPU, 2XSATA, 2XMOLEX, 1XFDD, 140Х150Х86, 0,68КГ, СЕРЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
423,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1100ВА 230В 4ХSCHUKO 95Х220Х307 6,9КГ ЧЕРНЫЙ']",,,,,1100,4,,,,,,,,,,,,,,,,,,,,
424,atx,1200,atx2.31,apfc,блок,блок питания,['БЛОК ПИТАНИЯ'],"['1200ВТ ATX2.31 APFC 150Х160Х86 2,12КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
425,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['850ВА 480ВТ 162-275В 3ХIEC320C13 100Х143Х278 5,15КГ']",,,,,480,3,,,,,,,,,,,,,,,,,,,,
426,atx,700,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['700ВТ ATX 12V 2.3 150Х86Х140 2.1КГ'],,,,,,,,,,,,,,,,,,,,,,,,,,
427,atx,500,20+4 pin,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['500W, ATX, D ВЕНТИЛЯТОРА 120 ММ 20+4 PIN, 4-PIN CPU 1, 15-PIN SATA 2, 4-PIN MOLEX 2']",,,,,,,,,,,,,,,,,,,,,,,,,,
428,,850,80+ bronze,apfc,блок,блок питания,['БЛОК ПИТАНИЯ'],"['850 ВТ, 80+ BRONZE, EPS12V, APFC, 20 + 4 PIN, 4+4 PIN, 8 PIN CPU, 8 SATA, 6+2 PIN X4 PCI-E']",,,,,,,,,,,,,,,,,,,,,,,,,,
429,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1000ВА 230В SCHUKO X 8 USB-A X 1 166X118X288/6.5КГ/ЧЕРНЫЙ'],,,,,1000,8,,usb-a,,,,,,,,,,,,,,,,,,
430,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['650ВА/360ВТ, LED, USB, RJ11/RJ45, SCHUKOХ6']",,,,,650,6,,"usb, rj11, rj45",,,,,,,,,,,,,,,,,,
431,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1100ВА 165-290В 660ВТ, 6ХIEC C13, 94Х220Х307 6,9КГ ЧЕРНЫЙ']",,,,,660,6,,,,,,,,,,,,,,,,,,,,
432,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['480ВТ 65ГЦ EURO IEC320 220 100Х290Х143 4,4КГ ЧЕРНЫЙ']",,,,,480,,,,,,,,,,,,,,,,,,,,,
433,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['420 ВТ/ 700 ВA, 162 - 290 В, 45 - 65 ГЦ, URO, 220 +/- 10% В, 50/60 +/- 1% ГЦ 100Х290Х143 4.4КГ ЧЕРНЫЙ/БЕЛЫЙ']",,,,,700 ва,,,uro,,,,,,,,,,,,,,,,,,
434,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['100Х290Х143 300 ВТ/ 500 ВA, 162 - 290 В, 45 - 65 ГЦ, EURO, 220 +/- 10% В, 50/60 +/- 1% ГЦ ЧЕРНЫЙ/БЕЛЫЙ 4.4КГ']",,,,,300 вт/500 ва,,,euro,,,,,,,,,,,,,,,,,,
435,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['LINE-INTERACTIVE 1600ВА/960В 230В COM (RS-232, DB9) RJ-45 10/100/1000 BASE-T USB IEC 320 C14 LCD, 139Х195Х364 10,5КГ ЧЕРНЫЙ']",,,,,1600,,,"com (rs-232, db9), rj-45 10/100/1000 base-t, usb",,,,,,,,,,,,,,,,,,
436,atx,800,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['800ВТ ATX12V V2.4 ВЕНТИЛЯТОР=120Х120 150Х140Х86 2,8КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
437,atx,650,v2.4,,блок,блок питания,['БЛОК ПИТАНИЯ'],['650ВТ ATX12V V2.4 ВЕНТИЛЯТОР=120Х120 86Х150Х140 ЧЕРНЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
438,atx,600,80 plus,,блок,блок питания,['БЛОК ПИТАНИЯ'],['600ВТ 80 PLUS ATX СЕРЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
439,atx,550,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['550ВТ ATX 12В 24+4+4PIN D=120'],,,,,,,,,,,,,,,,,,,,,,,,,,
440,,10,,,блок,блок питания,['БЛОК ПИТАНИЯ НА DIN-РЕЙКУ'],"['0,84А 12В 10ВТ IP20 22,5Х90Х100 0,17КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
441,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ КОМПЬЮТЕРА'],"['550ВТ 1000ВА 285Х232Х103 4,47КГ ЧЕРНЫЙ']",,,,,550,,,,,,,,,,,,,,,,,,,,,
442,,,,,источник,источник электропитания,['ИСТОЧНИК ВТОРИЧНОГО ЭЛЕКТРОПИТАНИЯ РЕЗЕРВИРОВАННЫЙ'],"['24В 4.5А 2АКБ 7-12А/ЧАС 12В 333Х240Х134 1,2КГ']",,,,,4.5,,2,,,,,,,,,,,,,,,,,,,
443,,600,,,блок,блок бесперебойного питания,['БЛОК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['600ВТ 1000ВА 182Х320Х182 7,8КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
444,атх,500,,,блок,блок питания,['БЛОК ПИТАНИЯ КОМПЬЮТЕРА'],"['500ВТ АТХ 24+4PIN 12В 2,3В D=120']",,,,,,,,,,,,,,,,,,,,,,,,,,
445,атх,550,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['550ВТ АТХ 20+4PIN D=140 160Х150Х86'],,,,,,,,,,,,,,,,,,,,,,,,,,
446,atx,800,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['800ВТ ATX12V DВЕНТИЛЯТОРА=135'],,,,,,,,,,,,,,,,,,,,,,,,,,
447,atx,750,gold,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['750ВТ ATX12В 24PIN DВЕНТИЛЯТОРА=120 86Х150Х140 1,49КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
448,atx,650,,,блок,блок питания,['БЛОК ПИТАНИЯ'],"['650ВТ ATX 12В ВЕНТИЛЯТОР D=120 150Х86Х140 1,53КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
449,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['2000ВА 8XIEC320C13 466Х440Х87 21КГ'],,,,,2000,8,,,,,,,,,,,,,,,,,,,,
450,atx,450,атх2.3,,блок,,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['450ВТ ATX2.3 24PIN DВЕНТИЛЯТОРА=120 LПРОВОДОВ=350 140Х150Х86 83ГР'],,,,,,,,,,,,,,,,,,,блок питания,,,,,,,
451,,600,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['ATX 600ВТ 12В V2.3 150Х86Х140 1,6КГ']",,,,,,,,,,,,,,,,,,,,,,,,,,
452,atx,600,80plus,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['ATX 600ВТ 12V V2.3 80PLUS 150Х86Х140 1,8КГ ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
453,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['300ВА/165ВТ 220/230В 50-60ГЦ 3ХEURO 100Х315Х68 1,9КГ ЧЕРНЫЙ']",,,,,165,3,,,,,,,,,,,,,,,,,,,,
454,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['2200ВА/1760ВТ 8ХIEC320C13 RS-232 SNMP USB ЖК-ДИСПЛЕЙ 428Х353Х130 28,4КГ ЧЕРНЫЙ']",,,,,1760,8,,"rs-232, snmp, usb",,,,,,,,,,,,,,,,,,
455,din-рейка,240,,,блок,,['БЛОК ПИТАНИЯ НА DIN-РЕЙКУ'],"['24В, 10А, 240ВТ 63Х125,2Х113,5 1,17КГ']",,,,,,,,,,,,,,,,,,,блок питания,,,,,,,
456,,,,,источник,источник бесперебойного питания,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ ЛИНЕЙНО-ИНТЕРАКТИВНЫЙ'],"['800ВА/480ВТ 220В 3Х IEC 320 C13 278Х100Х140 4,4КГ ЧЕРНЫЙ']",,,,,480,3,,,,,,,,,,,,,,,,,,,,
457,atx,600,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],"['ATX, 600ВТ, ВЕНТИЛЯТОР 120, 150Х86Х140 ЧЕРНЫЙ']",,,,,,,,,,,,,,,,,,,,,,,,,,
